RUN	Model25U25	model25u25	1612211939247	 	3.3.1
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	38	START	1612211940154	1612211940154
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	32	START	1612211940153	1612211940153
USER	Client 5 attacks server 2 at address localhost:8082 looking for resource 20 with intensity 15	10	START	1612211940149	1612211940149
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	33	START	1612211940154	1612211940154
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	36	START	1612211940154	1612211940154
USER	Client 7 attacks server 3 at address localhost:8083 looking for resource 24 with intensity 3	17	START	1612211940151	1612211940151
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	39	START	1612211940154	1612211940154
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	41	START	1612211940155	1612211940155
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	52	START	1612211940191	1612211940191
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	51	START	1612211940191	1612211940191
USER	Client 5 attacks server 2 at address localhost:8082 looking for resource 20 with intensity 15	2	START	1612211940148	1612211940148
USER	Client 6 attacks server 3 at address localhost:8083 looking for resource 3 with intensity 1	44	START	1612211940155	1612211940155
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	50	START	1612211940191	1612211940191
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	53	START	1612211940192	1612211940192
USER	Client 7 attacks server 3 at address localhost:8083 looking for resource 24 with intensity 3	18	START	1612211940150	1612211940150
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	54	START	1612211940192	1612211940192
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	49	START	1612211940191	1612211940191
USER	Client 5 attacks server 2 at address localhost:8082 looking for resource 20 with intensity 15	3	START	1612211940148	1612211940148
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	55	START	1612211940192	1612211940192
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	56	START	1612211940192	1612211940192
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	42	START	1612211940155	1612211940155
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 20 with intensity 15	60	START	1612211940192	1612211940192
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	59	START	1612211940192	1612211940192
USER	Client 7 attacks server 3 at address localhost:8083 looking for resource 23 with intensity 5	20	START	1612211940151	1612211940151
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	47	START	1612211940155	1612211940155
USER	Client 5 attacks server 2 at address localhost:8082 looking for resource 20 with intensity 15	14	START	1612211940149	1612211940149
USER	Client 5 attacks server 2 at address localhost:8082 looking for resource 20 with intensity 15	1	START	1612211940147	1612211940147
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	29	START	1612211940153	1612211940153
USER	Client 5 attacks server 2 at address localhost:8082 looking for resource 20 with intensity 15	13	START	1612211940150	1612211940150
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 20 with intensity 15	68	START	1612211940193	1612211940193
