RUN	Model25U25	model25u25	1612211818347	 	3.3.1
USER	Client 3 attacks server 1 at address localhost:8081 looking for resource 6 with intensity 1	43	START	1612211819246	1612211819246
USER	Client 5 attacks server 2 at address localhost:8082 looking for resource 20 with intensity 15	9	START	1612211819237	1612211819237
USER	Client 6 attacks server 3 at address localhost:8083 looking for resource 3 with intensity 1	44	START	1612211819247	1612211819247
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	36	START	1612211819243	1612211819243
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	37	START	1612211819244	1612211819244
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	30	START	1612211819242	1612211819242
USER	Client 5 attacks server 2 at address localhost:8082 looking for resource 20 with intensity 15	3	START	1612211819237	1612211819237
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	33	START	1612211819243	1612211819243
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	38	START	1612211819244	1612211819244
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	47	START	1612211819247	1612211819247
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	51	START	1612211819287	1612211819287
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	55	START	1612211819287	1612211819287
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	54	START	1612211819287	1612211819287
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	56	START	1612211819287	1612211819287
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	46	START	1612211819247	1612211819247
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	57	START	1612211819287	1612211819287
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	58	START	1612211819287	1612211819287
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 22 with intensity 15	32	START	1612211819243	1612211819243
USER	Client 0 attacks server 0 at address localhost:8080 looking for resource 22 with intensity 15	59	START	1612211819287	1612211819287
